Name,Passport,Snils,Symptoms,Analysis,Doctor,DateStart,DateEnd,Price,Card
Масленников‎ Любомир  Маркыч,1212 310126,476-255-134 02,Затрудненное дыхание|Боль в горле|Кашель|Слабость|Насморк|Расстройство пищеварения,Биохимический анализ крови|КТ (компьютерная томография)|Кровь (общий анализ)|Уровень желудочной кислоты,Гастроэнтеролог,2024-01-12T19:58+03:00,2024-01-14T20:14+03:00,9200,2202 2049 9493 6793
Зверева Лана Валентиновна,0405 044282,845-778-743 78,Слабость|Боль в горле|Головная боль|Температура|Одышка|Повышенное давление,Кровь (общий анализ)|Рентгенография|МРТ (магнитно-резонансная томография)|ЭКГ (электрокардиограмма),Кардиолог,2024-05-27T19:36+03:00,2024-05-28T19:33+03:00,3600,2200 7053 3424 2882
Владимиров‎ Стоян Якубович,1521 111914,196-358-540 19,Боль в груди|Кашель|Боль в горле|Затрудненное дыхание|Слабость|Нарушение слуха,Кровь (общий анализ)|Гастроэнтероскопия|Биохимический анализ крови|Ринофиброларингоскопия,Лор,2024-02-28T20:03+03:00,2024-02-29T19:22+03:00,8600,2202 1578 4062 6349
Дроздова Добромила Антоновна,7106 500146,634-633-337 90,Одышка|Слабость|Головная боль|Насморк|Боль в горле|Сахарный диабет,Биохимический анализ крови|Электрокардиограмма (ЭКГ)|Кровь (общий анализ)|Анализ крови на уровень глюкозы,Эндокринолог,2024-07-19T19:52+03:00,2024-07-21T19:41+03:00,8700,4105 8435 9258 5653
Виноградов‎ Целыгост Аркадьевич,6912 481250,944-483-672 49,Затрудненное дыхание|Боль в груди|Слабость|Одышка|Насморк|Боли в пояснице,Электрокардиограмма (ЭКГ)|УЗИ (ультразвуковое исследование)|Кровь (общий анализ)|Анализ мочи на белок и альбумин,Нефролог,2024-01-04T19:00+03:00,2024-01-05T19:37+03:00,9900,4377 7220 2194 4625
Левин‎ Радигост Магомедович,9806 319481,842-142-398 86,Затрудненное дыхание|Боль в горле|Боль в груди|Одышка|Кашель|Утренняя скованность,КТ (компьютерная томография)|УЗИ (ультразвуковое исследование)|Электрокардиограмма (ЭКГ)|Анализ крови на антитела к суставам,Ревматолог,2024-03-13T20:01+03:00,2024-03-14T20:19+03:00,4700,2202 2033 4518 9602
Шувалова Ясна Михайловна,0814 455363,748-420-759 23,Одышка|Кашель|Насморк|Температура|Боль в горле|Глубокий прикус,Гастроэнтероскопия|МРТ (магнитно-резонансная томография)|КТ (компьютерная томография)|Ортопантомограмма,Ортодонт,2024-05-23T19:06+03:00,2024-05-24T20:07+03:00,6500,2202 2091 2720 5038
Давыдов‎ Радимир Изотович,5805 148290,347-484-409 07,Повышенное давление|Затрудненное дыхание|Кашель|Головная боль|Слабость|Ограничение подвижности суставов,Рентгенография|УЗИ (ультразвуковое исследование)|Биохимический анализ крови|Электромиография,Физиотерапевт,2024-09-13T19:22+03:00,2024-09-15T19:10+03:00,3800,2200 7056 6958 6236
Белов‎ Драгомир Гавриилович,8707 627615,461-822-545 84,Затрудненное дыхание|Боль в груди|Головная боль|Кашель|Боль в горле|Опухоли мочевого пузыря,УЗИ (ультразвуковое исследование)|Биохимический анализ крови|КТ (компьютерная томография)|Цистоскопия,Онкоуролог,2024-04-05T19:21+03:00,2024-04-07T20:22+03:00,2100,2200 2481 8498 3910
Вишневская Горица Ахматовна,8513 527774,885-666-605 82,Температура|Затрудненное дыхание|Насморк|Головная боль|Повышенное давление|Нарушение адаптации,Электрокардиограмма (ЭКГ)|Кровь (общий анализ)|КТ (компьютерная томография)|Анализ амниотической жидкости,Неонатолог,2024-09-02T18:55+03:00,2024-09-03T19:59+03:00,1200,5101 2683 0419 0899
Блохина Томица Натановна,3110 420169,845-331-998 27,Головная боль|Боль в груди|Температура|Боль в горле|Насморк|Акне и угревая сыпь,Гастроэнтероскопия|МРТ (магнитно-резонансная томография)|Электрокардиограмма (ЭКГ)|Дерматоскопия,Косметолог,2024-01-11T19:31+03:00,2024-01-12T19:26+03:00,1100,5421 0452 8360 8887
Алёхин‎ Креслав Николаевич,3915 932182,030-167-213 99,Боль в горле|Одышка|Температура|Повышенное давление|Затрудненное дыхание|Частое мочеиспускание,Кровь (общий анализ)|Электрокардиограмма (ЭКГ)|УЗИ (ультразвуковое исследование)|УЗИ органов мочевыделительной системы,Уролог,2024-06-13T19:02+03:00,2024-06-14T19:30+03:00,6600,2200 7077 5163 3053
Сергеева Радислава Кузьминична,4103 453927,852-468-893 55,Боль в горле|Насморк|Слабость|Затрудненное дыхание|Головная боль|Семейный анамнез наследственных заболеваний,КТ (компьютерная томография)|Электрокардиограмма (ЭКГ)|Гастроэнтероскопия|Кариотипирование,Генетик,2024-05-21T19:15+03:00,2024-05-22T18:48+03:00,7900,2202 1555 6463 1082
Вешняков‎ Вышеслав Иоаннович,3908 350800,835-407-001 83,Боль в груди|Боль в горле|Головная боль|Одышка|Слабость|Поражение сердца,КТ (компьютерная томография)|Электрокардиограмма (ЭКГ)|Гастроэнтероскопия|Электрокардиография,Кардиоревматолог,2024-09-26T20:24+03:00,2024-09-27T19:13+03:00,9000,2202 2007 5520 3282
Высоцкая Берислава Валентиновна,4107 082634,760-090-265 78,Одышка|Насморк|Температура|Повышенное давление|Головная боль|Изжога,Кровь (общий анализ)|Биохимический анализ крови|Электрокардиограмма (ЭКГ)|pH-метрия,Гастроэнтеролог,2024-04-05T20:24+03:00,2024-04-07T19:33+03:00,4900,2202 2000 4651 9274
Горбачёва Передслава Денисовна,8621 824221,030-015-318 68,Насморк|Повышенное давление|Одышка|Головная боль|Боль в груди|Частое мочеиспускание,Электрокардиограмма (ЭКГ)|МРТ (магнитно-резонансная томография)|УЗИ (ультразвуковое исследование)|УЗИ органов мочевыделительной системы,Уролог,2024-06-26T18:40+03:00,2024-06-27T18:52+03:00,6700,4105 8485 7504 9139
Тимофеев‎ Часлав Ермолаевич,9920 861694,675-468-497 66,Боль в груди|Головная боль|Слабость|Одышка|Температура|Кровоточивость десен,Биохимический анализ крови|КТ (компьютерная томография)|Рентгенография|Клинический анализ крови,Стоматолог,2024-05-02T20:19+03:00,2024-05-03T19:47+03:00,9000,4377 7206 3012 7008
Андрианов‎ Годогост Трифонович,5219 324316,906-424-837 08,Повышенное давление|Температура|Головная боль|Затрудненное дыхание|Кашель|Боли в пояснице,Рентгенография|МРТ (магнитно-резонансная томография)|Биохимический анализ крови|Анализ мочи на белок и альбумин,Нефролог,2024-03-22T19:10+03:00,2024-03-24T19:57+03:00,8400,4188 6835 0609 2977
Успенская Улада Никитовна,9017 210793,941-365-845 23,Головная боль|Боль в груди|Кашель|Повышенное давление|Насморк|Заболевания кишечника,Рентгенография|МРТ (магнитно-резонансная томография)|Кровь (общий анализ)|Эзофагогастродуоденоскопия,Эндоскопист,2024-03-26T18:53+03:00,2024-03-27T19:32+03:00,6700,2202 2043 2223 7643
Дорофеев‎ Ратмир Натанович,7619 889779,391-722-096 89,Температура|Насморк|Затрудненное дыхание|Повышенное давление|Боль в груди|Онемение конечностей,Кровь (общий анализ)|МРТ (магнитно-резонансная томография)|УЗИ (ультразвуковое исследование)|ЭЭГ (электроэнцефалография),Невролог,2024-08-12T19:39+03:00,2024-08-13T20:19+03:00,2000,5101 2660 1142 1123
Высоцкая Мирослава Вадимовна,0120 476922,643-876-591 46,Боль в груди|Затрудненное дыхание|Одышка|Повышенное давление|Насморк|Одышка,КТ (компьютерная томография)|Электрокардиограмма (ЭКГ)|Биохимический анализ крови|Спирометрия,Пульмонолог,2024-03-08T20:24+03:00,2024-03-10T19:33+03:00,2500,4377 7243 6606 5780
Жданов‎ Мировид Виленович,6807 856636,676-008-600 00,Кашель|Температура|Боль в горле|Головная боль|Одышка|Избыточный вес,Кровь (общий анализ)|МРТ (магнитно-резонансная томография)|Гастроэнтероскопия|Анализ крови на уровень липидов,Диетолог,2024-01-26T20:09+03:00,2024-01-28T18:44+03:00,1100,4105 8427 5663 7476
Балашов‎ Истислав Ефимович,6422 312129,965-335-306 30,Одышка|Головная боль|Насморк|Затрудненное дыхание|Температура|Запоры,МРТ (магнитно-резонансная томография)|УЗИ (ультразвуковое исследование)|Биохимический анализ крови|Фиброколоноскопия,Гастроэнтеролог,2024-07-04T19:37+03:00,2024-07-05T20:17+03:00,10000,5101 2655 6218 9032
Черных Радосвета Никоновна,2710 690159,355-925-312 98,Боль в груди|Слабость|Затрудненное дыхание|Кашель|Головная боль|Боли в суставах,Кровь (общий анализ)|Биохимический анализ крови|МРТ (магнитно-резонансная томография)|Рентген суставов,Ортопед,2024-07-18T20:18+03:00,2024-07-19T19:07+03:00,9900,5101 2642 3227 5567
Софронов‎ Ворон Ильнурович,8818 809553,332-805-982 77,Боль в горле|Одышка|Головная боль|Затрудненное дыхание|Насморк|Бронхит,Электрокардиограмма (ЭКГ)|Рентгенография|Кровь (общий анализ)|Спирограмма,Пульмонолог,2024-04-26T20:28+03:00,2024-04-28T19:51+03:00,4100,2200 7097 1662 5586
Жириновская Ярослава Никандровна,3403 986015,762-828-231 26,Боль в груди|Затрудненное дыхание|Температура|Одышка|Головная боль|Боли в брюшной полости,Гастроэнтероскопия|МРТ (магнитно-резонансная томография)|Рентгенография|УЗИ внутренних органов,УЗИ-специалист,2024-04-18T18:45+03:00,2024-04-19T19:07+03:00,9200,4276 8038 8246 5725
Борисов‎ Мокроус Валерьевич,9507 461983,418-084-255 76,Боль в груди|Насморк|Затрудненное дыхание|Температура|Боль в горле|Семейный анамнез наследственных заболеваний,Кровь (общий анализ)|Электрокардиограмма (ЭКГ)|Гастроэнтероскопия|Кариотипирование,Генетик,2024-01-04T19:46+03:00,2024-01-05T20:15+03:00,6300,2200 7001 9019 8217
Дёмин‎ Миломир Юрьевич,3323 541734,716-876-389 52,Боль в груди|Слабость|Затрудненное дыхание|Боль в горле|Одышка|Одышка,УЗИ (ультразвуковое исследование)|МРТ (магнитно-резонансная томография)|Гастроэнтероскопия|Спирометрия,Пульмонолог,2024-09-13T19:23+03:00,2024-09-15T19:40+03:00,8000,2200 2446 0009 5360
Лукьянов‎ Жизнобуд Теймуразович,2300 737745,353-242-540 50,Головная боль|Повышенное давление|Слабость|Кашель|Боль в горле|Поражение сердца,Гастроэнтероскопия|Рентгенография|Электрокардиограмма (ЭКГ)|Электрокардиография,Кардиоревматолог,2024-01-12T19:13+03:00,2024-01-14T20:13+03:00,9700,2200 2422 0140 3071
Архипова Светозара Игнатьевна,8711 825391,043-327-408 28,Повышенное давление|Головная боль|Боль в горле|Одышка|Кашель|Повышенное давление,УЗИ (ультразвуковое исследование)|Гастроэнтероскопия|Биохимический анализ крови|ЭКГ (электрокардиограмма),Кардиолог,2023-12-27T18:51+03:00,2023-12-28T19:37+03:00,4900,4377 7204 7146 1924
Бобров‎ Блуд Ильич,1410 640333,039-556-508 88,Одышка|Слабость|Кашель|Головная боль|Затрудненное дыхание|Язвы желудка,Гастроэнтероскопия|УЗИ (ультразвуковое исследование)|Кровь (общий анализ)|Эндоскопия верхних отделов ЖКТ,Эндоскопист,2024-02-23T20:29+03:00,2024-02-25T20:17+03:00,1200,2200 2467 5174 4474
Судаков‎ Мечислав Богданович,6917 328595,972-655-646 62,Одышка|Насморк|Боль в горле|Повышенное давление|Температура|Акне и угревая сыпь,Гастроэнтероскопия|УЗИ (ультразвуковое исследование)|Рентгенография|Дерматоскопия,Косметолог,2024-01-04T19:53+03:00,2024-01-05T19:46+03:00,5600,2202 1508 0672 8595
Дашков‎ Ждан Гаджиевич,4504 362515,402-196-899 75,Слабость|Боль в горле|Одышка|Головная боль|Затрудненное дыхание|Проблемы с памятью,Гастроэнтероскопия|Рентгенография|КТ (компьютерная томография)|Тест на деменцию,Гериатр,2024-09-17T19:55+03:00,2024-09-18T20:09+03:00,6200,5244 6812 4303 5690
Софронова Веслава Афанасьевна,2715 111606,012-864-627 44,Слабость|Боль в груди|Одышка|Кашель|Насморк|Рвота,Электрокардиограмма (ЭКГ)|Биохимический анализ крови|МРТ (магнитно-резонансная томография)|Гастроэнтероскопия,Гастроэнтеролог,2023-12-14T19:04+03:00,2023-12-15T19:50+03:00,4700,2202 1561 6441 0902
Одинцов‎ Добромил  Аверьянович,8618 209918,323-925-973 91,Головная боль|Затрудненное дыхание|Боль в горле|Слабость|Насморк|Боли в пояснице,КТ (компьютерная томография)|Кровь (общий анализ)|Гастроэнтероскопия|Анализ мочи на белок и альбумин,Нефролог,2024-03-12T18:38+03:00,2024-03-13T19:38+03:00,8500,2200 7007 6120 9684
Анохина Часлава Рустамовна,5710 996152,059-513-721 75,Одышка|Головная боль|Затрудненное дыхание|Боль в груди|Насморк|Одышка,Электрокардиограмма (ЭКГ)|Биохимический анализ крови|Гастроэнтероскопия|Спирометрия,Пульмонолог,2024-07-03T18:57+03:00,2024-07-04T19:07+03:00,5900,2202 2065 4554 4338
Бондарев‎ Ясномысл Чеславович,4510 823291,731-515-756 85,Кашель|Слабость|Одышка|Головная боль|Температура|Запоры,Электрокардиограмма (ЭКГ)|Кровь (общий анализ)|УЗИ (ультразвуковое исследование)|Фиброколоноскопия,Гастроэнтеролог,2024-06-17T19:12+03:00,2024-06-18T19:41+03:00,6100,4377 7237 8446 2767
Самойлов‎ Сом Захарьевич,6202 895518,637-050-306 66,Головная боль|Насморк|Температура|Повышенное давление|Слабость|Сахарный диабет,КТ (компьютерная томография)|Гастроэнтероскопия|Рентгенография|Анализ крови на уровень глюкозы,Эндокринолог,2024-03-29T18:45+03:00,2024-03-31T20:06+03:00,2300,4377 7284 8328 3428
Ефремов‎ Лютой Юрьевич,4412 204205,579-057-006 21,Насморк|Боль в груди|Слабость|Боль в горле|Головная боль|Лихорадка,Гастроэнтероскопия|КТ (компьютерная томография)|Кровь (общий анализ)|Микроскопия макроты,Фтизиатр,2024-05-02T20:08+03:00,2024-05-03T19:01+03:00,2700,4105 8495 2629 5595
Серова Малуша Осиповна,2614 078456,487-178-539 50,Одышка|Головная боль|Температура|Боль в горле|Боль в груди|Избыточный вес,Рентгенография|МРТ (магнитно-резонансная томография)|Кровь (общий анализ)|Анализ крови на уровень липидов,Диетолог,2024-06-13T19:28+03:00,2024-06-14T19:10+03:00,5100,2202 1554 3298 9761
Туманов‎ Бронислав Вячеславович,8408 417827,348-857-430 32,Температура|Головная боль|Слабость|Насморк|Одышка|Заболевания кишечника,Рентгенография|КТ (компьютерная томография)|УЗИ (ультразвуковое исследование)|Эзофагогастродуоденоскопия,Эндоскопист,2024-06-12T19:16+03:00,2024-06-13T20:17+03:00,1700,2202 2049 5219 3808
Ерёмин‎ Горыня Фадеевич,8007 349106,065-471-261 64,Головная боль|Кашель|Слабость|Повышенное давление|Боль в груди|Нарушение зонтичного слуха,КТ (компьютерная томография)|Биохимический анализ крови|Электрокардиограмма (ЭКГ)|Аудиометрия,Оториноларинголог,2024-01-05T19:28+03:00,2024-01-07T19:51+03:00,8600,2200 7082 5187 6682
Чернышева Надежда Марковна,1112 146884,717-868-602 48,Головная боль|Боль в горле|Насморк|Слабость|Боль в груди|Повышенное давление,МРТ (магнитно-резонансная томография)|УЗИ (ультразвуковое исследование)|Биохимический анализ крови|ЭКГ (электрокардиограмма),Кардиолог,2024-05-09T19:03+03:00,2024-05-10T19:19+03:00,8200,5101 2690 6708 1578
Авдеева Велислава Ксенофонтьевна,4212 400547,334-401-137 22,Затрудненное дыхание|Температура|Насморк|Одышка|Головная боль|Кожные высыпания,КТ (компьютерная томография)|Кровь (общий анализ)|Гастроэнтероскопия|Анализ крови на антитела,Аллерголог,2024-03-11T19:51+03:00,2024-03-12T20:10+03:00,4900,4377 7291 5336 7212
Филиппова Видана Авенировна,8211 957460,095-248-258 94,Повышенное давление|Боль в горле|Кашель|Слабость|Затрудненное дыхание|Лихорадка,Электрокардиограмма (ЭКГ)|Гастроэнтероскопия|УЗИ (ультразвуковое исследование)|Микроскопия макроты,Фтизиатр,2023-12-28T18:32+03:00,2023-12-29T18:57+03:00,1100,2200 7007 7609 6231
Карасёв‎ Вацлав Ильмирович,3918 271404,473-838-477 39,Затрудненное дыхание|Боль в груди|Температура|Боль в горле|Повышенное давление|Онемение конечностей,Гастроэнтероскопия|Биохимический анализ крови|УЗИ (ультразвуковое исследование)|ЭЭГ (электроэнцефалография),Невролог,2024-08-23T18:58+03:00,2024-08-25T18:40+03:00,5100,2200 7016 2118 9019
Зайцев‎ Бажен Сидорович,4320 152503,584-254-243 05,Насморк|Слабость|Одышка|Повышенное давление|Боль в груди|Потеря веса,Гастроэнтероскопия|Рентгенография|Биохимический анализ крови|Биопсия опухоли,Онколог,2024-05-03T20:11+03:00,2024-05-05T19:58+03:00,1700,5101 2679 2969 0064
Артёмов‎ Радигост Ильясович,6903 584819,156-645-720 91,Затрудненное дыхание|Боль в груди|Температура|Повышенное давление|Слабость|Паралич,КТ (компьютерная томография)|МРТ (магнитно-резонансная томография)|Кровь (общий анализ)|Электромиография,Невропатолог,2024-04-26T20:22+03:00,2024-04-28T19:25+03:00,6400,2200 7089 5381 9931
Заец Щука Валерьевна,2904 659062,919-237-974 50,Затрудненное дыхание|Боль в груди|Повышенное давление|Боль в горле|Температура|Бронхит,Рентгенография|УЗИ (ультразвуковое исследование)|КТ (компьютерная томография)|Спирограмма,Пульмонолог,2024-04-18T19:43+03:00,2024-04-19T19:17+03:00,7400,4276 8003 5943 6962
Верещагин‎ Богомил Наумович,3520 339903,152-641-484 54,Затрудненное дыхание|Боль в горле|Повышенное давление|Слабость|Боль в груди|Сыпь на коже,Рентгенография|УЗИ (ультразвуковое исследование)|Гастроэнтероскопия|Мазок на флору кожи,Дерматолог,2024-04-04T20:09+03:00,2024-04-05T19:26+03:00,6600,2202 1513 6634 9519
Шаров‎ Хотебуд Никонович,6501 068368,952-243-726 08,Кашель|Боль в груди|Насморк|Слабость|Температура|Нарушение адаптации,Биохимический анализ крови|Рентгенография|Электрокардиограмма (ЭКГ)|Анализ амниотической жидкости,Неонатолог,2024-07-08T18:37+03:00,2024-07-09T20:17+03:00,2800,2200 2415 8544 7198
Дашкова Цветана Викторовна,3214 811860,978-193-942 91,Одышка|Затрудненное дыхание|Насморк|Боль в горле|Головная боль|Расстройство пищеварения,Электрокардиограмма (ЭКГ)|Кровь (общий анализ)|Рентгенография|Уровень желудочной кислоты,Гастроэнтеролог,2023-12-22T20:12+03:00,2023-12-24T19:42+03:00,7400,2202 1588 4546 8892
Дорохов‎ Родовлад Никодимович,4206 679570,703-156-648 72,Слабость|Боль в груди|Температура|Кашель|Боль в горле|Депрессия,КТ (компьютерная томография)|Электрокардиограмма (ЭКГ)|Рентгенография|Клиническое интервью,Психиатр,2024-03-08T19:12+03:00,2024-03-10T18:44+03:00,1900,4105 8400 8009 8859
Сидорова Любовь Генриховна,8101 307260,978-740-184 76,Боль в горле|Кашель|Боль в груди|Насморк|Повышенное давление|Лихорадка,КТ (компьютерная томография)|Электрокардиограмма (ЭКГ)|Биохимический анализ крови|Мазок из носоглотки,Педиатр,2024-05-27T20:15+03:00,2024-05-28T20:09+03:00,9500,2200 7052 7965 3201
Ежова Милодана Аркадьевна,7210 515855,129-557-257 93,Температура|Головная боль|Затрудненное дыхание|Повышенное давление|Одышка|Зуд,УЗИ (ультразвуковое исследование)|Гастроэнтероскопия|Рентгенография|Офтальмоскопия,Офтальмолог,2024-09-03T18:50+03:00,2024-09-04T18:42+03:00,1400,5421 0495 0314 5722
Волкова Василиса Ксенофонтьевна,1002 390194,037-875-604 97,Температура|Головная боль|Повышенное давление|Насморк|Кашель|Утренняя скованность,УЗИ (ультразвуковое исследование)|МРТ (магнитно-резонансная томография)|Гастроэнтероскопия|Анализ крови на антитела к суставам,Ревматолог,2024-08-05T18:31+03:00,2024-08-06T20:22+03:00,8400,2202 2047 4103 1970
Золотарёв‎ Витигост Валерьевич,7918 171115,722-113-642 43,Затрудненное дыхание|Повышенное давление|Одышка|Боль в горле|Слабость|Проблемы с пищеварением,МРТ (магнитно-резонансная томография)|Гастроэнтероскопия|КТ (компьютерная томография)|Анализ мочи на наличие метаболитов,Неонатолог,2024-03-01T20:13+03:00,2024-03-03T20:01+03:00,1900,5421 0440 7436 5062
Горохова Томила Сергеевна,6419 611232,131-381-781 39,Одышка|Повышенное давление|Слабость|Боль в горле|Боль в груди|Кровотечения,УЗИ (ультразвуковое исследование)|Кровь (общий анализ)|Биохимический анализ крови|Анализ крови на онкомаркеры,Онкогинеколог,2024-08-05T20:00+03:00,2024-08-06T19:41+03:00,9500,4188 6809 0970 0481
Горюнова Дарина Вениаминовна,9408 586440,519-019-019 67,Боль в горле|Кашель|Насморк|Повышенное давление|Слабость|Язвы желудка,Электрокардиограмма (ЭКГ)|Рентгенография|Биохимический анализ крови|Эндоскопия верхних отделов ЖКТ,Эндоскопист,2023-12-11T19:31+03:00,2023-12-12T18:51+03:00,6000,2200 2446 5153 3741
Дёмина Казимира Борисовна,1908 084938,305-581-464 63,Повышенное давление|Температура|Затрудненное дыхание|Кашель|Одышка|Избыточный вес,МРТ (магнитно-резонансная томография)|УЗИ (ультразвуковое исследование)|Гастроэнтероскопия|Анализ крови на уровень липидов,Диетолог,2023-12-27T19:13+03:00,2023-12-28T20:26+03:00,5200,5421 0446 4991 4642
Большакова Смиляна Каллиниковна,4003 181930,864-221-642 00,Головная боль|Затрудненное дыхание|Насморк|Слабость|Кашель|Желтуха,Электрокардиограмма (ЭКГ)|КТ (компьютерная томография)|Рентгенография|Анализ крови на билирубин,Гепатолог,2024-02-08T19:02+03:00,2024-02-09T19:07+03:00,8500,2200 7016 4094 2225
Горбань‎ Домаслав Емельянович,2808 476908,606-469-037 98,Слабость|Одышка|Температура|Кашель|Насморк|Боли в пояснице,Рентгенография|Электрокардиограмма (ЭКГ)|КТ (компьютерная томография)|Анализ мочи на белок и альбумин,Нефролог,2024-08-09T19:03+03:00,2024-08-11T19:38+03:00,9300,2200 7064 7745 7720
Горелова Цветана Ксенофонтьевна,2416 219604,641-932-013 74,Кашель|Боль в горле|Повышенное давление|Боль в груди|Температура|Нарушение зонтичного слуха,Электрокардиограмма (ЭКГ)|УЗИ (ультразвуковое исследование)|Гастроэнтероскопия|Аудиометрия,Оториноларинголог,2024-03-19T20:04+03:00,2024-03-20T19:17+03:00,7400,4105 8496 5753 3106
Цветков‎ Боголюб Никанорович,3706 732534,794-929-453 86,Температура|Слабость|Затрудненное дыхание|Боль в горле|Кашель|Переломы,Кровь (общий анализ)|УЗИ (ультразвуковое исследование)|Гастроэнтероскопия|Рентген,Травматолог,2024-07-04T18:52+03:00,2024-07-05T20:23+03:00,8100,5101 2658 7210 8247
Авдеева Бронислава Петровна,1909 955615,631-838-680 12,Головная боль|Боль в горле|Повышенное давление|Слабость|Одышка|Кожные высыпания,Гастроэнтероскопия|Рентгенография|МРТ (магнитно-резонансная томография)|Анализ крови на антитела,Аллерголог,2024-06-11T20:11+03:00,2024-06-12T18:45+03:00,9000,2202 2054 3844 4626
Сальникова Веслава Анатольевна,4518 837047,417-381-627 83,Одышка|Насморк|Слабость|Затрудненное дыхание|Головная боль|Расстройство пищеварения,Гастроэнтероскопия|Электрокардиограмма (ЭКГ)|УЗИ (ультразвуковое исследование)|Уровень желудочной кислоты,Гастроэнтеролог,2024-07-03T19:48+03:00,2024-07-04T18:59+03:00,3400,2200 7096 0279 3969
